STRUCTURE,STRUCTURE_ID,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,1998,4122811,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,1999,4126432,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2000,4133855,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2001,4143737,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2002,4156906,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2003,4170674,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2004,4189973,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2005,4216493,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2006,4239954,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2007,4252922,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2008,4265500,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2009,4278068,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2010,4285442,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2011,4296293,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2012,4309977,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2013,4328238,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2014,4352447,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2015,4384529,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2016,4427918,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2017,4460424,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2018,4483749,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2019,4501742,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2020,4522292,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2021,4535712,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2022,4553444,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2023,4619957,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,AT,2024,4643918,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,1998,5209592,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,1999,5220034,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2000,5233071,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2001,5245395,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2002,5268464,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2003,5288959,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2004,5309245,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2005,5334527,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2006,5367561,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2007,5403126,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2008,5442557,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2009,5484429,p,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2010,5527684,p,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2011,5598920,b,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2012,5635601,b,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2013,5665118,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2014,5687048,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2015,5713206,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2016,5741853,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2017,5762455,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2018,5784371,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2019,5810693,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2020,5841215,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2021,5854293,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2022,5883978,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2023,5946649,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BE,2024,5981093,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2008,3857635,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2009,3831264,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2010,3807808,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2011,3780505,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2012,3760457,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2013,3701945,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2014,3662824,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2015,3621883,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2016,3578998,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2017,3537549,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2018,3494184,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2019,3450251,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2020,3405861,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2021,3389807,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2022,3364303,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2023,3348207,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,BG,2024,3347783,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2009,401874,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2010,419535,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2011,430993,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2012,443018,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2013,444842,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2014,440462,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2015,435183,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2016,435627,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2017,438139,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2018,442728,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2019,448068,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2020,453534,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2021,458357,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,TOTAL,NR,F,CY,2022,463622,,
