freq,citizen,age,unit,sex,geo\TIME_PERIOD	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,TOTAL,NR,M,AT	3848305 	3856029 	3868331 	3889189 	3906734 	3929599 	3952600 	3984866 	4014344 	4030062 	4042489 	4056935 	4066201 	4078871 	4098144 	4123622 	4155339 	4200397 	4272553 	4312441 	4338518 	4357033 	4378772 	4396952 	4425485 	4484815 	4514832 
A,TOTAL,TOTAL,NR,M,BE	4982672 	4993718 	5006014 	5018019 	5041263 	5066885 	5087176 	5111325 	5143821 	5181408 	5224309 	5268651 p	5312221 p	5401718 b	5440288 b	5472856 	5493792 	5524068 	5569264 	5589272 	5614218 	5644826 	5681225 	5700474 	5733645 	5796147 	5836003 
A,TOTAL,TOTAL,NR,M,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3660367 	3635855 	3613958 	3588926 	3566767 	3500611 	3454629 	3407807 	3359761 	3311969 	3263234 	3213926 	3163414 	3142310 	3118181 	3099503 	3097698 
A,TOTAL,TOTAL,NR,M,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	395001 	399605 	408758 	418993 	421036 	417538 	411825 	412692 	416663 	421508 	427831 	434471 	437650 	441083 	465129 b	475594 
A,TOTAL,TOTAL,NR,M,CZ	: 	5005435 	5121484 	5076258 	4967986 	4966706 	4974740 	4980913 	5002648 	5026184 	5082934 	5136377 	5157197 	5168799 	5158210 	5164349 	5162380 	5176927 	5186330 	5200687 	5219791 	5244194 	5271996 	5170902 b	5183775 	5308523 	5342610 
A,TOTAL,TOTAL,NR,M,DE	39992311 	40004142 	40090776 	40156536 	40274676 	40344879 	40356014 	40353627 	40339961 	40301166 	40274292 	40184283 	40103606 	39124600 b	39229947 	39380976 	39556923 	39835457 	40514123 	40697118 	40843565 	40966691 	41037613 	41026519 	41066785 	40919705 b	41161931 
A,TOTAL,TOTAL,NR,M,DK	2615669 	2625421 	2634122 	2644319 	2654146 	2662423 	2670135 	2677292 	2685846 	2696662 	2712650 	2732020 	2743286 	2756582 	2766776 	2778852 	2792279 	2811014 	2837887 	2860178 	2876473 	2889073 	2896918 	2904857 	2922915 	2948999 	2963691 
A,TOTAL,TOTAL,NR,M,EE	: 	: 	631851 	: 	: 	: 	: 	: 	: 	: 	: 	617299 	617323 	610991 b	610318 	616167 	614919 	614704 b	616708 	617538 	621084 	625635 	629277 	630915 	633415 	647366 	651613 
A,TOTAL,TOTAL,NR,M,EL	5181224 	: 	: 	5413426 	: 	: 	5464401 e	: 	: 	: 	: 	5456095 	5460865 	5453444 	5423884 	5366251 	5313239 	5268390 	5224210 	5221277 	5210040 	5208293 	5215488 	5196048 	5114747 b	5093339 	5096893 
A,TOTAL,TOTAL,NR,M,ES	19664568 	19744258 	19826337 	19923890 	20115523 	20542468 	20924583 	21335281 	21719316 	22118969 	22591485 	22880536 	22982269 	23049476 	23099012 	23013226 	22874710 	22822721 	22806445 	22831107 	22889600 	23016783 	23210668 	23248611 	23288797 	23565593 	23826871 
A,TOTAL,TOTAL,NR,M,FI	2509098 	2516075 	2523026 	2529341 	2537597 	2544916 	2552893 	2562077 	2572350 	2583742 	2596787 	2611653 	2625067 	2638416 	2652534 	2666622 	2680364 	2691863 	2701490 	2712327 	2719131 	2723290 	2728262 	2733808 	2743101 	2753477 	2773898 
A,TOTAL,TOTAL,NR,M,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	30803231 	30980230 	31147979 	31301764 	31462902 	31605383 b	31772665 	32045129 b	32174258 	32247386 	32314352 	32414230 	32551339 	32644981 	32782095 	32982626 	33088401 p	33196079 p
