STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,AT,Austria,2024,,1784881,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2024,,1633795,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2024,,119111,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2024,,231985,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2024,,945560,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,DE,Germany,2024,,12108988,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2024,,649944,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2024,,246478,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,EL,Greece,2024,,743847,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,ES,Spain,2024,,6502282,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,FI,Finland,2024,,371345,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,FR,France,2024,,6028512,,p,provisional,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,HR,Croatia,2024,,115174,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,HU,Hungary,2024,,250722,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,IE,Ireland,2024,,818556,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,IT,Italy,2024,,5253658,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,LT,Lithuania,2024,,136045,,,,,
