STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2001,,7739,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2002,,7508,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2003,,8516,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2004,,9484,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2005,,11322,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2006,,12982,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2007,,14223,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2008,,15768,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2009,,17928,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,SK,Slovakia,TOTAL,Total,NR,Number,T,Total,AT,Austria,2012,,22547,,,,,
