STRUCTURE,STRUCTURE_ID,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2001,230932,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2002,233414,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2003,235771,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2004,237891,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2005,238046,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2006,236351,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2007,233351,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2008,229094,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2009,223413,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2010,217392,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2011,212824,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2012,206729,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2013,204086,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2014,202082,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2015,202605,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2016,203980,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2017,206226,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2018,205691,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2019,206133,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2020,205617,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2021,206227,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2022,206188,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2023,211341,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,AT,2024,212329,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,1998,289811,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,1999,292115,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2000,295574,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2001,300902,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2002,306287,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2008,298100,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2009,296352,p,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2010,297169,p,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2011,300722,b,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2012,300593,b,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2013,299116,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2014,298985,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2015,300627,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2016,302928,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2017,307475,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2018,313549,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2019,320521,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2020,326237,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2021,331586,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2022,334022,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2023,338646,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BE,2024,338003,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2008,164422,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2009,156128,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2010,153408,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2011,153163,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2012,151743,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2013,152003,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2014,151311,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2015,148637,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2016,146094,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2017,146562,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2018,148887,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2019,150787,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2020,153297,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2021,157198,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2022,157988,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2023,157040,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,BG,2024,154991,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2009,24460,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2010,24805,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2011,24253,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2012,23675,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2013,22646,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2014,21934,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2015,21890,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2016,21793,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2017,21629,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2018,21895,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2019,22270,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2020,22726,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2021,23093,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2022,23400,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2023,23796,b,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CY,2024,23866,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2001,316155,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2002,314173,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2003,310846,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2005,295771,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2007,260886,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2008,246494,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2009,231845,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2010,223394,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2011,220518,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2012,220018,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2013,221361,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2014,223335,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2015,227575,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2016,234162,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2017,242584,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2018,255396,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2019,269794,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2020,282023,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,TOTAL,Y10-14,NR,F,CZ,2021,282014,b,
