STRUCTURE,STRUCTURE_ID,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2001,20645,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2002,20777,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2003,21038,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2004,20844,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2005,20538,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2006,20540,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2007,20873,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2008,21295,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2009,21652,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2010,21923,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2011,22204,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2012,22500,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2013,23164,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2014,23968,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2015,25134,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,Y10-14,NR,F,AT,2016,27637,,
