STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,decision,Decision,isco08,International Standard Classification of Occupations 2008 (ISCO-08),citizen,Country of citizenship,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,AT,Austria,2021,,0,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,AT,Austria,2022,,0,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BE,Belgium,2021,,14,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BE,Belgium,2022,,11,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BE,Belgium,2023,,9,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BG,Bulgaria,2021,,6,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BG,Bulgaria,2022,,8,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,BG,Bulgaria,2023,,7,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CY,Cyprus,2021,,0,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CY,Cyprus,2022,,0,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CY,Cyprus,2023,,0,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CZ,Czechia,2021,,1,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CZ,Czechia,2022,,1,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,CZ,Czechia,2023,,1,,,,,
dataflow,ESTAT:MIGR_RESBC1(1.0),"EU Blue Cards by type of decision, occupation and citizenship",A,Annual,PER,Person,GRNT,Decision to grant,OC11,"Chief executives, senior officials and legislators",TOTAL,Total,DE,Germany,2021,,0,,,,,
