freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,TOTAL,COMPLET,TOTAL,NR,T,AT,51812.0,54071.0,53491.0,56689.0,64428.0,66144.0,67212.0,68280.0,62581.0,67299.0,74271.0,74036.0
A,TOTAL,COMPLET,TOTAL,NR,T,BE,93600.0,102657.0,94573.0,89794.0,92471.0,89690.0,88935.0,102936.0,76562.0,87272.0,84627.0,96071.0
A,TOTAL,COMPLET,TOTAL,NR,T,BG,16615.0,19678.0,28727.0,29470.0,30570.0,31586.0,33225.0,39941.0,6649.0,26755.0,13175.0,15227.0
A,TOTAL,COMPLET,TOTAL,NR,T,CH,103881.0,106196.0,111103.0,116631.0,120653.0,124997.0,130225.0,126221.0,109376.0,116769.0,122123.0,123963.0
A,TOTAL,COMPLET,TOTAL,NR,T,CY,19986.0,20679.0,16020.0,15733.0,16445.0,16931.0,17562.0,18598.0,14200.0,13244.0,21118.0,26979.0
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,46106.0,25894.0,28468.0,25684.0,38864.0,27316.0,26742.0,77798.0,35854.0,18630.0,31764.0,53639.0
A,TOTAL,COMPLET,TOTAL,NR,T,DE,240001.0,259328.0,311230.0,315882.0,514560.0,511185.0,470500.0,491500.0,398905.0,453812.0,448534.0,574155.0
A,TOTAL,COMPLET,TOTAL,NR,T,DK,43663.0,43310.0,44426.0,44625.0,52654.0,56403.0,60381.0,66520.0,53822.0,44008.0,62927.0,68172.0
A,TOTAL,COMPLET,TOTAL,NR,T,EE,6321.0,6740.0,4637.0,13003.0,13792.0,12358.0,10476.0,12801.0,12427.0,12481.0,9657.0,12543.0
A,TOTAL,COMPLET,TOTAL,NR,T,EL,124694.0,117094.0,106804.0,109351.0,106535.0,103327.0,103049.0,95020.0,77837.0,79596.0,80307.0,76158.0
A,TOTAL,COMPLET,TOTAL,NR,T,ES,446606.0,532303.0,400430.0,343875.0,327325.0,368860.0,309526.0,296248.0,248561.0,696866.0,531889.0,608695.0
A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,,2444099.0,2436134.0,2444257.0,2637090.0,2578174.0,2395352.0,2557265.0,2118873.0,2674866.0,2679000.0,2998174.0
A,TOTAL,COMPLET,TOTAL,NR,T,FI,13845.0,13893.0,15486.0,16305.0,18082.0,16973.0,19141.0,17263.0,15084.0,13459.0,15635.0,15322.0
A,TOTAL,COMPLET,TOTAL,NR,T,FR,255922.0,239813.0,308103.0,324517.0,313622.0,215470.0,188740.0,259143.0,191893.0,147051.0,279833.0,266368.0
A,TOTAL,COMPLET,TOTAL,NR,T,HR,12877.0,15262.0,20858.0,29651.0,36436.0,47352.0,39515.0,40148.0,34046.0,40424.0,46287.0,39218.0
A,TOTAL,COMPLET,TOTAL,NR,T,HU,22880.0,34691.0,42213.0,43225.0,39889.0,39829.0,48178.0,49795.0,67364.0,67999.0,58408.0,71369.0
A,TOTAL,COMPLET,TOTAL,NR,T,IE,81797.0,76560.0,71107.0,67160.0,55507.0,58788.0,50258.0,51410.0,51313.0,53673.0,61133.0,75020.0
A,TOTAL,COMPLET,TOTAL,NR,T,IS,4758.0,4372.0,4052.0,4046.0,4159.0,3641.0,4372.0,4590.0,6009.0,4661.0,5091.0,4831.0
A,TOTAL,COMPLET,TOTAL,NR,T,IT,106216.0,125735.0,136328.0,146955.0,157065.0,155110.0,156960.0,179505.0,159884.0,158312.0,150189.0,158438.0
A,TOTAL,COMPLET,TOTAL,NR,T,LI,439.0,497.0,476.0,468.0,522.0,426.0,484.0,446.0,432.0,516.0,480.0,460.0
