STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,AT,Austria,2014,,178104,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,AT,Austria,2019,,206421,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,AT,Austria,2024,,114072,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,BE,Belgium,2014,,99096,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,BE,Belgium,2019,,90840,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,BE,Belgium,2024,,123023,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2024,,7658,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2014,,6970,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2019,,6166,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2024,,34684,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2014,,156609,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2019,,193248,,,,,
dataflow,ESTAT:MIGR_POP7CTZ(1.0),"Population on 1 January by age group, sex and level of human development of the country of citizenship",A,Annual,EXT_FOR_HDI_H,"Countries other than EU, EFTA and Candidate countries with high Human Development Index (HDI)",TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2024,,103048,,,,,
