freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,TOTAL,COMPLET,TOTAL,NR,T,AT,91557.0,101866.0,116262.0,166323.0,129509.0,111801.0,105633.0,109167.0,103565.0,118511.0,201622.0,147591.0
A,TOTAL,COMPLET,TOTAL,NR,T,BE,129477.0,120078.0,123158.0,146626.0,123702.0,126703.0,137860.0,150006.0,118683.0,139743.0,208356.0,169609.0
A,TOTAL,COMPLET,TOTAL,NR,T,BG,14103.0,18570.0,26615.0,25223.0,21241.0,25597.0,29559.0,37929.0,37364.0,39461.0,40619.0,56807.0
A,TOTAL,COMPLET,TOTAL,NR,T,CH,149051.0,160157.0,156282.0,153627.0,149305.0,143377.0,144857.0,145129.0,138778.0,144907.0,167079.0,263081.0
A,TOTAL,COMPLET,TOTAL,NR,T,CY,16138.0,13666.0,13003.0,15364.0,18590.0,22458.0,25740.0,27553.0,22850.0,25473.0,37558.0,40761.0
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,34337.0,30124.0,29897.0,29602.0,64083.0,51847.0,65910.0,105888.0,63095.0,69360.0,347429.0,142149.0
A,TOTAL,COMPLET,TOTAL,NR,T,DE,592175.0,692713.0,866757.0,1549937.0,1046171.0,866541.0,825736.0,804821.0,642399.0,775946.0,1943445.0,1271219.0
A,TOTAL,COMPLET,TOTAL,NR,T,DK,54409.0,60312.0,68388.0,78492.0,74383.0,68579.0,64669.0,61384.0,57230.0,63489.0,121183.0,98344.0
A,TOTAL,COMPLET,TOTAL,NR,T,EE,2639.0,4109.0,3904.0,15413.0,14822.0,17616.0,17547.0,18259.0,16209.0,19524.0,49414.0,26399.0
A,TOTAL,COMPLET,TOTAL,NR,T,EL,58200.0,57946.0,59013.0,64446.0,116867.0,112247.0,119489.0,129459.0,84221.0,57120.0,96662.0,118816.0
A,TOTAL,COMPLET,TOTAL,NR,T,ES,304053.0,280772.0,305454.0,342114.0,414746.0,532132.0,643684.0,750480.0,467918.0,887960.0,1258894.0,1250991.0
A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,,2901962.0,3155758.0,4051316.0,3739223.0,3732663.0,3906083.0,4176776.0,3255433.0,4054686.0,6905319.0,5934699.0
A,TOTAL,COMPLET,TOTAL,NR,T,FI,31278.0,31941.0,31507.0,28746.0,34905.0,31797.0,31106.0,32758.0,32898.0,36364.0,49998.0,73236.0
A,TOTAL,COMPLET,TOTAL,NR,T,FR,327431.0,338752.0,340383.0,364221.0,377709.0,369621.0,387160.0,385596.0,331137.0,336401.0,431078.0,417613.0
A,TOTAL,COMPLET,TOTAL,NR,T,HR,8959.0,10378.0,10638.0,11706.0,13985.0,15553.0,26029.0,37726.0,33414.0,35912.0,57972.0,69396.0
A,TOTAL,COMPLET,TOTAL,NR,T,HU,33702.0,38968.0,54581.0,58344.0,53618.0,68070.0,82937.0,88581.0,75470.0,80471.0,94148.0,96192.0
A,TOTAL,COMPLET,TOTAL,NR,T,IE,61324.0,65539.0,73519.0,80792.0,93378.0,84743.0,105699.0,96321.0,81918.0,83770.0,157537.0,135617.0
A,TOTAL,COMPLET,TOTAL,NR,T,IS,4960.0,6406.0,5368.0,5635.0,8710.0,12116.0,11830.0,9872.0,8544.0,8996.0,14878.0,11235.0
A,TOTAL,COMPLET,TOTAL,NR,T,IT,350772.0,307454.0,277631.0,280078.0,300823.0,343440.0,332324.0,332778.0,247526.0,318366.0,410985.0,439658.0
A,TOTAL,COMPLET,TOTAL,NR,T,LI,671.0,696.0,615.0,657.0,607.0,645.0,649.0,727.0,713.0,669.0,770.0,716.0
A,TOTAL,COMPLET,TOTAL,NR,T,LT,28797.0,30924.0,33544.0,31085.0,31395.0,33305.0,37420.0,46526.0,46020.0,44858.0,87367.0,66682.0
A,TOTAL,COMPLET,TOTAL,NR,T,LU,20478.0,21098.0,22332.0,23803.0,22888.0,24379.0,24644.0,26668.0,22490.0,25335.0,31433.0,26964.0
A,TOTAL,COMPLET,TOTAL,NR,T,LV,13303.0,8299.0,10365.0,9479.0,8345.0,9916.0,10909.0,11223.0,8840.0,12689.0,38708.0,18710.0
A,TOTAL,COMPLET,TOTAL,NR,T,MD,,,98731.0,105834.0,107303.0,107580.0,116739.0,116196.0,65167.0,68356.0,177875.0,
A,TOTAL,COMPLET,TOTAL,NR,T,ME,5727.0,5112.0,5353.0,4553.0,4904.0,6684.0,8643.0,10737.0,6008.0,,15989.0,18316.0
A,TOTAL,COMPLET,TOTAL,NR,T,MK,1715.0,2050.0,1935.0,1741.0,2262.0,2064.0,2053.0,2118.0,2555.0,1570.0,2452.0,
A,TOTAL,COMPLET,TOTAL,NR,T,MT,9152.0,12446.0,15928.0,18202.0,18116.0,22750.0,27394.0,29304.0,14751.0,16963.0,34964.0,42239.0
A,TOTAL,COMPLET,TOTAL,NR,T,NL,124566.0,129428.0,145323.0,166872.0,189232.0,189646.0,194306.0,215756.0,182244.0,214105.0,326798.0,274597.0
A,TOTAL,COMPLET,TOTAL,NR,T,NO,69908.0,68313.0,66903.0,60816.0,61460.0,53351.0,47864.0,48680.0,36287.0,53947.0,90475.0,86589.0
A,TOTAL,COMPLET,TOTAL,NR,T,PL,217546.0,220311.0,222275.0,218147.0,208302.0,209353.0,214083.0,226649.0,210615.0,241116.0,275515.0,303275.0
A,TOTAL,COMPLET,TOTAL,NR,T,PT,14668.0,17757.0,23077.0,36849.0,37644.0,46649.0,55357.0,95382.0,83654.0,97119.0,167098.0,189367.0
A,TOTAL,COMPLET,TOTAL,NR,T,RO,167266.0,153646.0,136035.0,132795.0,137455.0,177435.0,172578.0,202422.0,145519.0,194642.0,293024.0,324091.0
