STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_birth,Country/region of birth,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2008,,1234879,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2009,,1259626,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2010,,1274901,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2011,,1294224,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2012,,1322656,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2013,,1364003,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2014,,1414215,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2015,,1483123,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2016,,1588209,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2017,,1649008,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2018,,1690619,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2019,,1722833,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,FOR,Foreign country,TOTAL,Total,NR,Number,T,Total,AT,Austria,2020,,1760595,,,,,
