Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2000,Ukraine,UKR,-,-,G,V,FI,P,4117
2000,Ukraine,UKR,-,-,G,V,AR,C,276
2000,Ukraine,UKR,-,-,G,V,FI,C,2101
2000,Ukraine,UKR,-,-,G,V,FA,P,112
2000,Ukraine,UKR,-,-,U,V,FI,P,10
2000,Ukraine,UKR,-,-,G,V,AR,P,373
2000,Ukraine,UKR,-,-,G,V,NA,P,512
2000,Ukraine,UKR,-,-,G,V,RA,P,128
2000,Ukraine,UKR,-,-,G,N,EO,C,235
2000,Ukraine,UKR,-,-,G,N,IN,C,199
2001,Ukraine,UKR,-,-,G,V,FI,P,4503
2001,Ukraine,UKR,-,-,G,V,AR,C,1351
2001,Ukraine,UKR,-,-,G,V,FI,C,4970
2001,Ukraine,UKR,-,-,G,V,FA,P,259
2001,Ukraine,UKR,-,-,U,V,FI,P,28
2001,Ukraine,UKR,-,-,G,V,AR,P,656
2001,Ukraine,UKR,-,-,G,V,NA,P,678
2001,Ukraine,UKR,-,-,G,V,RA,P,115
2001,Ukraine,UKR,-,-,G,N,EO,C,307
2001,Ukraine,UKR,-,-,G,N,IN,C,246
2002,Ukraine,UKR,-,-,G,V,AR,C,961
2002,Ukraine,UKR,-,-,G,V,FI,P,4149
2002,Ukraine,UKR,-,-,G,V,FA,P,418
2002,Ukraine,UKR,-,-,G,V,AR,P,637
2002,Ukraine,UKR,-,-,G,V,FI,C,2039
2002,Ukraine,UKR,-,-,G,V,RA,P,99
2002,Ukraine,UKR,-,-,G,V,NA,P,621
2002,Ukraine,UKR,-,-,U,V,FI,P,5
2002,Ukraine,UKR,-,-,G,N,EO,P,367
2002,Ukraine,UKR,-,-,G,N,IN,C,240
2003,Ukraine,UKR,-,-,G,V,FI,P,4801
2003,Ukraine,UKR,-,-,G,V,AR,C,22
2003,Ukraine,UKR,-,-,G,V,FA,P,533
2003,Ukraine,UKR,-,-,G,V,AR,P,585
2003,Ukraine,UKR,-,-,U,V,FI,P,23
2003,Ukraine,UKR,-,-,G,V,RA,P,79
2003,Ukraine,UKR,-,-,G,V,NA,P,299
2003,Ukraine,UKR,-,-,G,N,EO,P,326
2003,Ukraine,UKR,-,-,G,N,IN,C,188
2004,Ukraine,UKR,-,-,U,V,FI,P,11
2004,Ukraine,UKR,-,-,G,V,FI,P,4412
2004,Ukraine,UKR,-,-,G,V,FA,P,524
2004,Ukraine,UKR,-,-,G,V,AR,P,779
2004,Ukraine,UKR,-,-,G,V,RA,P,178
2004,Ukraine,UKR,-,-,G,V,NA,P,231
2004,Ukraine,UKR,-,-,G,N,EO,P,100
2004,Ukraine,UKR,-,-,G,N,IN,C,154
2005,Ukraine,UKR,-,-,G,V,FI,P,3116
2005,Ukraine,UKR,-,-,G,V,AR,C,13
2005,Ukraine,UKR,-,-,G,V,FA,P,359
2005,Ukraine,UKR,-,-,G,V,AR,P,549
2005,Ukraine,UKR,-,-,G,V,RA,P,134
2005,Ukraine,UKR,-,-,G,V,NA,P,132
2005,Ukraine,UKR,-,-,G,N,EO,P,77
2005,Ukraine,UKR,-,-,G,N,IN,C,221
2006,Ukraine,UKR,-,-,G,A,AR,C,13
2006,Ukraine,UKR,-,-,G,N,FI,P,1550
2006,Ukraine,UKR,-,-,G,NR,FA,P,222
2006,Ukraine,UKR,-,-,G,A,AR,P,211
2006,Ukraine,UKR,-,-,G,R,AR,P,583
2006,Ukraine,UKR,-,-,G,R,RA,P,86
2006,Ukraine,UKR,-,-,G,NA,NA,P,99
2006,Ukraine,UKR,-,-,G,N,FA,P,40
2006,Ukraine,UKR,-,-,J,N,FA,C,5
2006,Ukraine,UKR,-,-,G,N,EO,P,89
2006,Ukraine,UKR,-,-,G,N,IN,C,187
2007,Ukraine,UKR,-,-,G,N,FI,P,858
2007,Ukraine,UKR,-,-,G,A,AR,C,8
2007,Ukraine,UKR,-,-,G,N,FA,P,366
2007,Ukraine,UKR,-,-,G,A,AR,P,110
2007,Ukraine,UKR,-,-,G,N,AR,P,259
2007,Ukraine,UKR,-,-,G,R,RA,P,46
2007,Ukraine,UKR,-,-,G,N,NA,P,62
2007,Ukraine,UKR,-,-,G,A,EO,P,63
2007,Ukraine,UKR,-,-,G,N,IN,C,169
2008,Ukraine,UKR,-,-,G,A,AR,C,5
2008,Ukraine,UKR,-,-,G,NR,FA,P,139
2008,Ukraine,UKR,-,-,G,N,FI,P,1026
2008,Ukraine,UKR,-,-,G,A,AR,P,61
2008,Ukraine,UKR,-,-,G,N,AR,P,217
2008,Ukraine,UKR,-,-,G,R,RA,P,21
2008,Ukraine,UKR,-,-,G,N,NA,P,37
2008,Ukraine,UKR,-,-,G,N,EO,P,44
2008,Ukraine,UKR,-,-,G,N,IN,C,138
2009,Ukraine,UKR,-,-,G,A,AR,C,5
2009,Ukraine,UKR,-,-,G,N,FI,P,943
2009,Ukraine,UKR,-,-,G,NR,FA,P,120
2009,Ukraine,UKR,-,-,G,R,FI,P,44
2009,Ukraine,UKR,-,-,G,A,AR,P,218
2009,Ukraine,UKR,-,-,G,N,RA,P,7
2009,Ukraine,UKR,-,-,G,N,NA,P,66
2009,Ukraine,UKR,-,-,G,R,RA,P,19
2009,Ukraine,UKR,-,-,G,N,AR,P,23
2009,Ukraine,UKR,-,-,G,N,FA,P,9
2009,Ukraine,UKR,-,-,G,NA,FA,P,7
2009,Ukraine,UKR,-,-,G,N,EO,P,76
2009,Ukraine,UKR,-,-,G,N,IN,C,187
2010,Ukraine,UKR,-,-,G,N,FI,P,851
2010,Ukraine,UKR,-,-,G,A,AR,C,5
2010,Ukraine,UKR,-,-,G,NR,FA,P,110
2010,Ukraine,UKR,-,-,G,N,RA,P,27
2010,Ukraine,UKR,-,-,G,N,FI,C,5
2010,Ukraine,UKR,-,-,G,N,AR,P,143
2010,Ukraine,UKR,-,-,G,R,RA,P,18
2010,Ukraine,UKR,-,-,G,N,NA,P,62
2010,Ukraine,UKR,-,-,G,A,AR,P,5
2010,Ukraine,UKR,-,-,G,R,AR,P,11
2010,Ukraine,UKR,-,-,G,A,SP,P,10
2010,Ukraine,UKR,-,-,G,N,TA,P,6
2010,Ukraine,UKR,-,-,G,N,JR,P,82
2010,Ukraine,UKR,-,-,G,A,EO,P,69
2010,Ukraine,UKR,-,-,G,N,IN,C,195
2011,Ukraine,UKR,-,-,G,N,FI,P,947
2011,Ukraine,UKR,-,-,G,N,AR,C,10
2011,Ukraine,UKR,-,-,G,NR,FA,P,63
2011,Ukraine,UKR,-,-,G,R,RA,P,58
2011,Ukraine,UKR,-,-,G,A,AR,P,11
2011,Ukraine,UKR,-,-,G,N,RA,P,10
2011,Ukraine,UKR,-,-,G,A,AR,C,13
2011,Ukraine,UKR,-,-,G,N,NA,P,44
2011,Ukraine,UKR,-,-,G,R,FI,P,12
2011,Ukraine,UKR,-,-,G,SP,SP,P,5
2011,Ukraine,UKR,-,-,G,N,AR,P,131
2011,Ukraine,UKR,-,-,G,R,FA,P,6
2011,Ukraine,UKR,-,-,G,R,TA,P,5
2011,Ukraine,UKR,-,-,G,N,FI,C,8
2011,Ukraine,UKR,-,-,G,A,EO,P,84
2011,Ukraine,UKR,-,-,G,N,IN,C,234
2012,Ukraine,UKR,-,-,G,N,FI,P,1114
2012,Ukraine,UKR,-,-,G,A,AR,C,28
2012,Ukraine,UKR,-,-,G,NA,FA,P,79
2012,Ukraine,UKR,-,-,G,R,RA,P,69
