Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
1992,Ukraine,UKR,Denmark,DNK,5,0,0,0,0,0,0,-,0
1992,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,13,0,0,0,0,0,0,-,0
1992,Ukraine,UKR,Sweden,SWE,14,0,0,0,0,0,0,-,0
1992,Ukraine,UKR,"United States of America",USA,7,0,0,0,0,0,0,-,0
1993,Ukraine,UKR,Denmark,DNK,5,0,0,0,0,0,0,-,0
1993,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,13,0,0,0,0,0,0,-,0
1993,Ukraine,UKR,Sweden,SWE,43,0,0,0,0,0,0,-,0
1993,Ukraine,UKR,Uruguay,URY,11,0,0,0,0,0,0,-,0
1993,Ukraine,UKR,"United States of America",USA,61,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Argentina,ARG,5,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Canada,CAN,462,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Denmark,DNK,5,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,66,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Spain,ESP,5,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Sweden,SWE,109,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,Uruguay,URY,13,0,0,0,0,0,0,-,0
1994,Ukraine,UKR,"United States of America",USA,252,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,Canada,CAN,594,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,Denmark,DNK,5,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,France,FRA,295,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,133,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,Spain,ESP,5,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,Sweden,SWE,135,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,Uruguay,URY,15,0,0,0,0,0,0,-,0
1995,Ukraine,UKR,"United States of America",USA,520,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Australia,AUS,559,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Belgium,BEL,898,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Canada,CAN,698,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Chile,CHL,0,0,7,0,0,0,0,-,0
1996,Ukraine,UKR,Czechia,CZE,49,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Denmark,DNK,5,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,France,FRA,292,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,293,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Panama,PAN,5,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,"Russian Federation",RUS,2297,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Spain,ESP,6,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Sweden,SWE,157,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,Uruguay,URY,12,0,0,0,0,0,0,-,0
1996,Ukraine,UKR,"United States of America",USA,835,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Australia,AUS,266,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Belgium,BEL,898,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Canada,CAN,748,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Czechia,CZE,52,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Denmark,DNK,10,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,France,FRA,325,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Georgia,GEO,5,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Italy,ITA,6,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,338,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Panama,PAN,5,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,"Russian Federation",RUS,2326,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Spain,ESP,6,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Sweden,SWE,165,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,Uruguay,URY,15,0,0,0,0,0,0,-,0
1997,Ukraine,UKR,"United States of America",USA,1183,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Australia,AUS,23,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Austria,AUT,7,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Belgium,BEL,23,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Belarus,BLR,0,0,0,0,0,0,570,-,0
1998,Ukraine,UKR,Canada,CAN,643,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Czechia,CZE,52,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Denmark,DNK,20,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Finland,FIN,5,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,France,FRA,384,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Iceland,ISL,5,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Italy,ITA,6,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,"Netherlands (Kingdom of the)",NLD,373,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Panama,PAN,5,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,"Russian Federation",RUS,1394,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Spain,ESP,11,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Sweden,SWE,179,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Switzerland,CHE,6,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,Uruguay,URY,22,0,0,0,0,0,0,-,0
1998,Ukraine,UKR,"United States of America",USA,1441,0,0,0,0,0,0,-,0
1999,Ukraine,UKR,Australia,AUS,13,0,0,0,0,0,0,-,0
1999,Ukraine,UKR,Austria,AUT,8,0,0,0,0,0,0,-,0
